modelo,mean_latency_ms,std_latency_ms,mean_vram_mb,std_vram_mb,n_images,pass,mode
sam_b_kvasir,102.08134284386269,2.172714171853841,2771.691594050481,0.12759791681629487,130,1,finetune
sam_b_kvasir,102.18444420741154,2.298578343009013,2771.691594050481,0.12759791681629487,130,2,finetune
sam_b_kvasir,102.46673914102408,2.2578130762204798,2771.691594050481,0.12759791681629487,130,3,finetune
sam_b_pascals,99.28830464680989,1.947693981487765,2771.247160734954,0.1564011040690912,108,1,finetune
sam_b_pascals,99.35241275363498,1.935488066294119,2771.247160734954,0.1564011040690912,108,2,finetune
sam_b_pascals,99.55454534954495,2.260929332890969,2771.247160734954,0.1564011040690912,108,3,finetune
sam_b_isic2016,106.39859441263098,19.960923151955793,2771.3209476736592,0.13566078005067664,359,1,finetune
sam_b_isic2016,106.63876560073045,19.678231913932883,2771.3209476736592,0.13566078005067664,359,2,finetune
sam_b_isic2016,106.36009678535143,19.918940776751203,2771.3209476736592,0.13566078005067664,359,3,finetune
sam_b_refcocog,98.93928674551157,2.187399765582154,2771.270139723558,0.33043721789121133,130,1,finetune
sam_b_refcocog,99.04474661900447,2.449891404659571,2771.270139723558,0.33043721789121133,130,2,finetune
sam_b_refcocog,98.95331676189716,2.4031697792751614,2771.270139723558,0.33043721789121133,130,3,finetune
sam_l_kvasir,210.49337020287146,4.019272433234759,4401.2433518629805,0.12759791681629487,130,1,finetune
sam_l_kvasir,210.6034884086022,3.937981480330372,4401.2433518629805,0.12759791681629487,130,2,finetune
sam_l_kvasir,210.94908714294434,4.17018697737391,4401.2433518629805,0.12759791681629487,130,3,finetune
sam_l_pascals,207.4451799745913,3.8172527759793558,4400.800374348958,0.1625223478616621,108,1,finetune
sam_l_pascals,207.92438365794993,3.4426583496076613,4400.800374348958,0.1625223478616621,108,2,finetune
sam_l_pascals,207.90276483253197,3.9303610434696985,4400.800374348958,0.1625223478616621,108,3,finetune
sam_l_isic2016,214.6067705659149,19.644015085472958,4400.873434507747,0.13442713434560924,359,1,finetune
sam_l_isic2016,214.72064366247662,19.52039175499529,4400.873434507747,0.13442713434560924,359,2,finetune
sam_l_isic2016,214.7987997963568,19.890810542865864,4400.873434507747,0.13442713434560924,359,3,finetune
sam_l_refcocog,207.50399552858792,3.741132057484389,4400.8318359375,0.36354287797326534,130,1,finetune
sam_l_refcocog,207.4475966967069,3.7778356495372094,4400.8318359375,0.36354287797326534,130,2,finetune
sam_l_refcocog,207.36803091489352,3.727815180289572,4400.8318359375,0.36354287797326534,130,3,finetune
sam2_b_kvasir,79.69892941988431,3.186158992922372,806.53564453125,0.0,130,1,finetune
sam2_b_kvasir,79.60717311272255,3.4020346207419863,806.53564453125,0.0,130,2,finetune
sam2_b_kvasir,79.77509498596191,3.4122116118370713,806.53564453125,0.0,130,3,finetune
sam2_b_pascals,78.823983669281,3.7323739622396825,806.53564453125,0.0,108,1,finetune
sam2_b_pascals,78.36185782044022,3.1937949240885635,806.53564453125,0.0,108,2,finetune
sam2_b_pascals,78.4909416128088,3.180180802860456,806.53564453125,0.0,108,3,finetune
sam2_b_isic2016,98.33851232502121,41.31824297108905,806.53564453125,0.0,359,1,finetune
sam2_b_isic2016,98.02200933684878,41.73438536643205,806.53564453125,0.0,359,2,finetune
sam2_b_isic2016,98.05639009289754,42.19534737676092,806.53564453125,0.0,359,3,finetune
sam2_b_refcocog,78.91233334174522,3.23064282672801,806.53564453125,0.0,130,1,finetune
sam2_b_refcocog,78.57471796182486,2.961252157170313,806.53564453125,0.0,130,2,finetune
sam2_b_refcocog,78.61319688650278,2.747976189189963,806.53564453125,0.0,130,3,finetune
sam2_l_kvasir,140.65408339867224,3.40383331303767,1452.97314453125,0.0,130,1,finetune
sam2_l_kvasir,140.4245138168335,3.45139918758912,1452.97314453125,0.0,130,2,finetune
sam2_l_kvasir,140.22497213803805,3.409477887335985,1452.97314453125,0.0,130,3,finetune
sam2_l_pascals,139.5050839141563,3.6165992613167592,1452.97314453125,0.0,108,1,finetune
sam2_l_pascals,139.64283907855,3.41967487632306,1452.97314453125,0.0,108,2,finetune
sam2_l_pascals,139.69004154205322,3.521785721606186,1452.97314453125,0.0,108,3,finetune
sam2_l_isic2016,155.14329482585939,29.972260696284668,1452.97314453125,0.0,359,1,finetune
sam2_l_isic2016,154.7964064191643,29.141459018444444,1452.97314453125,0.0,359,2,finetune
sam2_l_isic2016,155.59699342775477,30.48587634593836,1452.97314453125,0.0,359,3,finetune
sam2_l_refcocog,139.9923141186054,3.1971051025630626,1452.97314453125,0.0,130,1,finetune
sam2_l_refcocog,140.167236328125,3.1849907316513453,1452.97314453125,0.0,130,2,finetune
sam2_l_refcocog,139.95283750387338,2.790054670870561,1452.97314453125,0.0,130,3,finetune
sam2_1_b_kvasir,79.42439409402701,3.586482267970825,806.59912109375,0.0,130,1,finetune
sam2_1_b_kvasir,79.63780623215895,3.466721317925889,806.59912109375,0.0,130,2,finetune
sam2_1_b_kvasir,79.55311628488394,3.057364707181401,806.59912109375,0.0,130,3,finetune
sam2_1_b_pascals,78.26275957955255,3.0932232939943924,806.59912109375,0.0,108,1,finetune
sam2_1_b_pascals,78.5118231066951,3.4544890504308996,806.59912109375,0.0,108,2,finetune
sam2_1_b_pascals,78.44777239693536,3.2804479741588537,806.59912109375,0.0,108,3,finetune
sam2_1_b_isic2016,98.54030077835975,42.41312426274667,806.59912109375,0.0,359,1,finetune
sam2_1_b_isic2016,98.02976026508469,41.69064573164002,806.59912109375,0.0,359,2,finetune
sam2_1_b_isic2016,98.17911921105345,41.68418579646542,806.59912109375,0.0,359,3,finetune
sam2_1_b_refcocog,79.09642916459303,2.874267585363669,806.59912109375,0.0,130,1,finetune
sam2_1_b_refcocog,78.9659646841196,2.8891638336189964,806.59912109375,0.0,130,2,finetune
sam2_1_b_refcocog,78.96593534029446,2.7619036574324767,806.59912109375,0.0,130,3,finetune
sam2_1_l_kvasir,140.8833778821505,3.513226245522333,1453.03662109375,0.0,130,1,finetune
sam2_1_l_kvasir,141.01367363562952,3.668001907343156,1453.03662109375,0.0,130,2,finetune
sam2_1_l_kvasir,140.8684363731971,3.6991989758397046,1453.03662109375,0.0,130,3,finetune
sam2_1_l_pascals,140.20588442131324,3.141117379255595,1453.03662109375,0.0,108,1,finetune
sam2_1_l_pascals,140.40931948909054,3.45507777078757,1453.03662109375,0.0,108,2,finetune
sam2_1_l_pascals,140.80398391794276,3.4884613570107255,1453.03662109375,0.0,108,3,finetune
sam2_1_l_isic2016,155.6333579060759,29.993277206528955,1453.03662109375,0.0,359,1,finetune
sam2_1_l_isic2016,155.61819142949946,30.425949816676884,1453.03662109375,0.0,359,2,finetune
sam2_1_l_isic2016,155.6648258379243,30.730915266408967,1453.03662109375,0.0,359,3,finetune
sam2_1_l_refcocog,140.7010371868427,2.975679583157548,1453.03662109375,0.0,130,1,finetune
sam2_1_l_refcocog,140.25584184206448,3.356377402993489,1453.03662109375,0.0,130,2,finetune
sam2_1_l_refcocog,140.67803896390475,2.979870585161753,1453.03662109375,0.0,130,3,finetune
sam3_kvasir,423.3193012384268,4.996636272184026,2277.6349384014425,0.2076788297447931,130,1,finetune
sam3_kvasir,423.9650854697594,5.692696539509322,2277.6349384014425,0.2076788297447931,130,2,finetune
sam3_kvasir,424.70750441918005,4.476278841170157,2277.6349384014425,0.2076788297447931,130,3,finetune
sam3_pascals,425.2563891587434,4.679499482448307,2277.4578269675926,0.019092820470506373,108,1,finetune
sam3_pascals,424.66344436009723,4.150287082567457,2277.4578269675926,0.019092820470506373,108,2,finetune
sam3_pascals,425.6960992459898,4.07004395319387,2277.4578269675926,0.019092820470506373,108,3,finetune
sam3_isic2016,437.84116569667805,25.09709208582016,2279.484934007225,3.227478183354406,359,1,finetune
sam3_isic2016,437.9141795602018,24.984014781468087,2279.484934007225,3.227478183354406,359,2,finetune
sam3_isic2016,437.6397106308791,24.24658665928479,2279.484934007225,3.227478183354406,359,3,finetune
sam3_refcocog,426.40438813429614,6.011852635213807,2277.554172926683,0.04632754605858584,130,1,finetune
sam3_refcocog,425.92147863828217,4.578486496063345,2277.554172926683,0.04632754605858584,130,2,finetune
sam3_refcocog,426.2558992092426,4.42709971987661,2277.554172926683,0.04632754605858584,130,3,finetune
unet_kvasir,8.767324227553148,1.403352490381578,194.01611328125,0.0,130,1,finetune
unet_kvasir,8.851680388817421,1.3665693402862862,194.01611328125,0.0,130,2,finetune
