modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,eval_time_minutes
sam_b,0.28337560195858785,0.3534875170007976,0.5637011380601008,0.35529222012601547,0.3534875170007976,0.9745934002850754,0.40175673584515115,0.9628878041498119,0.058311838080065743,64.49081698034766,162.77137951733116,8.718129057156428,71.64
sam_l,0.2887299630765392,0.3546558804603559,0.5642521012258936,0.3560025971904891,0.3546558804603559,0.9717499881788351,0.39984114494537315,0.9606934024456877,0.062223684379650084,63.92608526571429,285.43888625494725,8.614167370959763,89.62
sam2_b,0.2971129118385275,0.36665662643596114,0.60851192563436,0.3505721564594656,0.36665662643596114,0.9675451609406072,0.41981742324908533,0.956950861241588,0.05554545214164026,64.9572664813179,125.71084483418508,8.703558598538137,60.95
sam2_l,0.28593636350005947,0.3517550350616313,0.5864823342177221,0.3434290709013348,0.3517550350616313,0.969308174063659,0.39987111336898584,0.9587890341911443,0.05653443771001741,65.05132902782249,198.96930700968628,8.591016300636257,76.07
sam2.1_b,0.2981871365312875,0.366821606710696,0.6104805278108709,0.35020160164224173,0.366821606710696,0.965717104087815,0.41916136376368024,0.9548765126926734,0.055464023053433065,66.63464959810437,125.38801733057117,8.703934171148507,61.3
sam2.1_l,0.29648058079886425,0.36532331541855595,0.5773678953597714,0.3583331033845292,0.365323315418556,0.9699071080849464,0.41206689531221397,0.9593258594403067,0.05919703912146868,63.2852247255189,198.83523762773527,8.60140527924095,75.97
sam3,0.31701830218802624,0.39413836230582466,0.5780054320039941,0.39101492354430156,0.39413836230582466,0.9740312745459487,0.442236533938108,0.9629164863800601,0.0589865581751963,59.475070051955136,556.0070955140476,8.641996074315921,129.58
sam3_prompt,0.34652979486749935,0.42047872840230177,0.4886928218082934,0.4255085989668522,0.4204787284023018,0.9966664140334763,0.44205723870027314,0.9905005844986161,0.044793302538108024,95.60409585303509,2499.418197643189,105.53499223453142,469.65
sam_b,0.35848121666938865,0.4386631847269104,0.6562643036779328,0.4619614169413649,0.4386631847269104,0.9834632486862541,0.48537962653826633,0.9740186491840178,0.07070745335397437,42.37222408685211,132.45971350866188,8.77979794481906,63.71
sam_l,0.36680278856069576,0.44202194291607577,0.6604049599194453,0.46141477545071186,0.44202194291607577,0.9817638835461675,0.48701293953253094,0.9727984172088625,0.07705320149466184,41.922513678729125,239.25852747315952,8.866137124484835,84.68
sam2_b,0.3920949110605293,0.46970429316643403,0.720247890792567,0.45733895489053217,0.46970429316643403,0.9780526655319461,0.5224322015950622,0.9697828238554997,0.07185547635866732,43.51799515987134,120.62222116450114,8.759041353996306,60.8
sam2_l,0.37583996981664414,0.45058297091450317,0.6925112759413926,0.45102965724761274,0.45058297091450317,0.9793306184657755,0.49832086665526026,0.9708445684471184,0.07192193122096265,43.38291817184631,166.4963745850079,8.737674752716027,71.69
sam2_1_b,0.400520008250207,0.4776936962367579,0.7276930317813386,0.4609116074412077,0.4776936962367579,0.9778348994680061,0.5305029841115607,0.969687946934551,0.07310804303729154,43.579544543944365,120.50820833529873,8.722289116116087,61.32
sam2_1_l,0.3889846558262826,0.4670194134959609,0.6857459526755476,0.46717330828795967,0.467019413495961,0.9801759510566126,0.5132718491901848,0.971962931472212,0.07489298543484173,41.13687542285853,167.19506101175978,8.73782003296153,72.49
